Character	Series
Thunderbolts	Civil War: Thunderbolts (2007)
Thunderbolts	Dark Reign:Deadpool/Thunderbolts (2009 - Present)
Thunderbolts	Invincible Iron Man (2008 - 2012)
Thunderbolts	New Thunderbolts (2004 - 2006)
Thunderbolts	New Thunderbolts Vol. 2: Modern Marvels (2005)
Thunderbolts	New Thunderbolts Vol. 3: Right of Power (2006)
Thunderbolts	Secret Warriors (2008 - 2011)
Thunderbolts	Shadowland: Thunderbolts (2011 - Present)
Thunderbolts	Thunderbolts (1997 - 2003)
Thunderbolts	Thunderbolts (2006 - 2012)
Thunderbolts	Thunderbolts by Warren Ellis Vol. 1: Faith in Monsters Premiere (2007)
Thunderbolts	Thunderbolts Classic Vol. 1 (2010 - Present)
Thunderbolts	Thunderbolts: Cage (2011)
Thunderbolts	Thunderbolts: From the Marvel Vault (2011)
Thunderbolts	Thunderbolts: Guardian Protocols (2007)
Thunderbolts	Thunderbolts: Violent Rejection (2010 - Present)
Thunderbolts	X-Man (1995 - 2000)
Hercules	Alpha Flight (1983 - 1994)
Hercules	Avengers (1963 - 1996)
Hercules	Avengers (1998 - 2004)
Hercules	Avengers Annual (1967 - 1994)
Hercules	Avengers Assemble (2004)
Hercules	Avengers Assemble Vol. 3 (2006)
Hercules	Avengers Assemble Vol. 4 (2007)
Hercules	Avengers Forever (1998 - 2001)
Hercules	Avengers Legends Vol. I: Avengers Forever (2002)
Hercules	Avengers Vol. 1: World Trust (2003)
Hercules	Avengers: First to Last (2008 - Present)
Hercules	Avengers: First to Last Premiere (2008 - Present)
Hercules	Avengers: Galactic Storm Vol. 2 (2006)
Hercules	Avengers: Kang Time and Time Again (2005)
Hercules	Avengers: The Kang Dynasty (2002)
Hercules	Captain Universe: Universal Heroes (2006)
Hercules	Champions (1975 - 1978)
Hercules	Champions Classic Vol. 1 (2006)
Hercules	Champions Classic Vol. 2 (2007)
Hercules	Chaos War (2010 - Present)
Red She-Hulk	Avengers (2010 - 2012)
Red She-Hulk	Defenders (2011 - 2012)
Red She-Hulk	Fear Itself (2010 - 2011)
Red She-Hulk	Incredible Hulks (2009 - 2011)
Red She-Hulk	Point One (2011)
Glenn Talbot	Avengers (1963 - 1996)
Glenn Talbot	Incredible Hulks (2009 - 2011)
Scourge	Cap Transport (2005 - 2006)
Scourge	Captain America (1968 - 1996)
Scourge	Thor (1966 - 1996)
Scourge	Thor Legends Vol. 2: Walt Simonson Book II (2003)
Scourge	Wolverine (1988 - 2003)
Major Mapleleaf	Alpha Flight (2004 - 2005)
Major Mapleleaf	Alpha Flight Vol. 2: Waxing Poetic (2005)
Sauron	Classic X-Men (1986 - 1990)
Sauron	Marvel Fanfare (1982 - 1992)
Sauron	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Sauron	Marvel Masterworks: The X-Men Vol.6 (2006)
Sauron	New Avengers (2004 - 2010)
Sauron	New Avengers Vol. 1: Breakout (2006)
Sauron	Uncanny X-Men (1963 - 2011)
Sauron	Uncanny X-Men Omnibus Vol. 1 (2006)
Sauron	Weapon X Vol. 1 (2003)
Sauron	Weapon X Vol. I (1999)
Sauron	Weapon X: The Draft - Sauron (2002)
Sauron	Weapon X: The Draft - Zero (2002)
Sauron	Wolverine (1988 - 2003)
Sauron	X-Factor (1986 - 1998)
Sauron	X-Factor Visionaries: Peter David Vol. 3 (2007)
Sauron	X-Force (1991 - 2004)
Sauron	X-Force: Under the Gun (2011 - Present)
Sauron	X-Force: Under the Gun (2011 - Present)
Sauron	X-Men (1991 - 2001)
Sauron	X-Men Unlimited (1993 - 1999)
Exodus	Cable (1993 - 2002)
Exodus	Excalibur (1988 - 1998)
Exodus	Uncanny X-Men (1963 - 2011)
Exodus	X-Force (1991 - 2004)
Exodus	X-Men (1991 - 2001)
Exodus	X-Men Chronicles (1995)
Exodus	X-Men Legacy (2008 - 2012)
Exodus	X-Men Unlimited (1993 - 1999)
Exodus	X-Men: Prime (1995)
Exodus	X-Men: The Complete Age of Apocalypse Epic Book 1 (2005)
Exodus	X-Men: The Complete Age of Apocalypse Epic Book 4 (2006)
Phoenix	Avengers (1963 - 1996)
Phoenix	Essential X-Factor Vol. 2 (All-New Edition) (2011 - Present)
Phoenix	Girl Comics (2010)
Phoenix	Marvel Girl (2010 - 2011)
Phoenix	New X-Men Vol. 2: Germ-Free Generation GN-TPB (2011 - Present)
Phoenix	Uncanny X-Force (2010 - 2012)
Phoenix	Uncanny X-Men (1963 - 2011)
Phoenix	Uncanny X-Men: First Class (2009 - 2010)
Phoenix	X-Factor Forever (2010)
Phoenix	X-Men (1991 - 2001)
Phoenix	X-Men Forever 2 (2010 - 2011)
Phoenix	X-Men Forever 2 Vol. 2: Scream a Little Scream TPB (2011)
Phoenix	X-Men Forever Annual (2010)
Phoenix	X-Men Forever Giant-Size (2010)
Phoenix	X-Men: Phoenix - Endsong (2005)
Phoenix	X-Men: Phoenix - Endsong (2005)
The Order	The Order (2007 - 2008)
The Order	The Order Vol. 1: The Next Right Thing (2008)
Gamora	Guardians of the Galaxy (2013 - Present)
Gamora	Nova (2007 - 2010)
Gamora	The Thanos Imperative: Devastation (2010)
Gamora	Warlock and the Infinity Watch (1992 - 1995)
Gamora	Warlock Chronicles (1993 - 1994)
Zombie (Simon_Garth)	Strange Tales (1998)
Betty Ross	Incredible Hulk Vol. 3: World War Hulks (2011)
Betty Ross	Incredible Hulks (2009 - 2011)
Betty Ross	Marvel Masterworks: The Incredible Hulk Vol. 2 (2004)
Betty Ross	Marvel Super-Heroes (1967 - 1982)
Betty Ross	Tales to Astonish (1959 - 1968)
Nemesis	Alpha Flight (2004 - 2005)
Nemesis	Alpha Flight Vol. 2: Waxing Poetic (2005)
Nemesis	X-Men (2010 - 2013)
Lightning Lords of Nepal	Immortal Iron Fist (2006 - 2009)
Daredevil	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (2011)
Daredevil	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (2011)
Daredevil	Alias (2003)
Daredevil	Alias Omnibus (2006)
Daredevil	Alpha Flight (1983 - 1994)
Daredevil	Alpha Flight Classic Vol. 1 (2007)
Daredevil	Amazing Spider-Man (1999 - 2013)
Daredevil	Amazing Spider-Man (1963 - 1998)
Daredevil	Amazing Spider-Man Annual (1964 - Present)
Daredevil	Amazing Spider-Man Omnibus Vol. 1 (2007)
Daredevil	Astonishing Tales (2009)
Daredevil	Avengers (1963 - 1996)
Daredevil	Avengers (1998 - 2004)
Daredevil	Avengers Annual (1967 - 1994)
Daredevil	Avengers Assemble (2004)
Daredevil	Avengers Assemble Vol. 2 (2005)
Daredevil	Avengers Assemble Vol. 4 (2007)
Daredevil	Avengers Vs. X-Men: Versus (2011 - 2012)
Daredevil	Avenging Spider-Man (2011 - Present)
Daredevil	Best of the Fantastic Four Vol. 1 (2005)
Odin	Avengers (1963 - 1996)
Odin	Avengers Origins: Thor (2011)
Odin	Black Panther (1998 - 2003)
Odin	Captain America (2004 - 2011)
Odin	Earth X (1999)
Odin	Earth X (New (2006)
Odin	Essential Thor Vol. 5 (2011 - Present)
Odin	Fantastic Four (1961 - 1998)
Odin	Fantastic Four Visionaries: John Byrne Vol. 4 (2001 - Present)
Odin	Fear Itself (2010 - 2011)
Odin	Fear Itself 7.2: Thor (2011)
Odin	Journey Into Mystery (1996 - 1998)
Odin	Journey Into Mystery (2011 - Present)
Odin	Journey Into Mystery (1952 - 1966)
Odin	Loki (2010 - 2011)
Odin	Marvel Masterworks: The Avengers Vol. (2004)
Odin	Marvel Masterworks: The Mighty Thor (2011 - Present)
Odin	Marvel Masterworks: The Mighty Thor (2011 - Present)
Odin	Marvel Masterworks: The Mighty Thor Vol. 3 (0000 - Present)
Odin	Marvel Masterworks: The Mighty Thor Vol. 4 (2005)
Doctor Strange	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (2011)
Doctor Strange	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (2011)
Doctor Strange	Alpha Flight (1983 - 1994)
Doctor Strange	Amazing Spider-Man (1999 - 2013)
Doctor Strange	Amazing Spider-Man (1963 - 1998)
Doctor Strange	Amazing Spider-Man Annual (1964 - Present)
Doctor Strange	Amazing Spider-Man Vol. 7: The Book of Ezekiel (2005)
Doctor Strange	Amazing Spider-Man Vol. 7: The Book of Ezekiel (2004)
Doctor Strange	Avengers (2010 - 2012)
Doctor Strange	Avengers (1963 - 1996)
Doctor Strange	Avengers Academy (2010 - 2012)
Doctor Strange	Avengers Annual (1967 - 1994)
Doctor Strange	Avengers Legends Vol. II: George Perez Book I (1999)
Doctor Strange	Avengers VS X-Men (2012)
Doctor Strange	Avengers/Invaders (2008 - 2009)
Doctor Strange	Black Panther (2005 - 2008)
Doctor Strange	Black Panther: The Bride (2006)
Doctor Strange	Cable & Deadpool (2004 - 2008)
Doctor Strange	Captain Universe: Power Unimaginable (2005)
Doctor Strange	Daredevil (1998 - 2011)
Madrox	Madrox (2004 - 2005)
Madrox	Madrox: Multiple Choice (2005)
Madrox	X-Factor (2005 - Present)
Madrox	X-Factor Vol. 2: Life and Death Matters (Reprint) (2011 - Present)
Madrox	X-Factor Vol. 3: Many Lives of Madrox (2007)
Madrox	X-Factor: The Longest Night (2007)
Tana Nile	Thor (1966 - 1996)
Layla Miller	Mighty Avengers (2007 - 2010)
Layla Miller	X-Factor (2005 - Present)
Fantastic Four	4 (2004 - 2006)
Fantastic Four	4 Vol. 1: Wolf at the Door (2004)
Fantastic Four	4 Vol. 2: The Stuff of Nightmares (2005)
Fantastic Four	4 Vol. 3: Divine Time (2005)
Fantastic Four	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (2011)
Fantastic Four	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (2011)
Fantastic Four	Adam: Legend of the Blue Marvel (2008)
Fantastic Four	Adam: Legend of the Blue Marvel (2008)
Fantastic Four	Alias (2003)
Fantastic Four	Alias Omnibus (2006)
Fantastic Four	Amazing Adventures (1970 - 1976)
Fantastic Four	Amazing Spider-Man (1999 - 2013)
Fantastic Four	Amazing Spider-Man Annual (1964 - Present)
Fantastic Four	Annihilation Classic (2008)
Fantastic Four	Astonishing X-Men (2004 - Present)
Fantastic Four	Atlantis Attacks (2011)
Fantastic Four	Atlantis Attacks (DM Only) (2011)
Fantastic Four	Avengers (1963 - 1996)
Fantastic Four	Avengers & the Infinity Gauntlet (2011)
Fantastic Four	Avengers & the Infinity Gauntlet (2010)
Squirrel Girl	Age of Heroes (2011)
Squirrel Girl	Amazing Spider-Man (1999 - 2013)
Squirrel Girl	G.L.a. (2005)
Squirrel Girl	G.L.a.: Misassembled (2005)
Squirrel Girl	New Avengers (2010 - 2012)
Squirrel Girl	New Avengers Annual (2010 - Present)
Squadron Supreme (Earth-712)	Avengers (1963 - 1996)
Squadron Supreme (Earth-712)	Captain America (1968 - 1996)
Squadron Supreme (Earth-712)	Quasar (1999 - 1994)
Squadron Supreme (Earth-712)	Squadron Supreme (2005)
Squadron Supreme (Earth-712)	Squadron Supreme (2006)
Squadron Supreme (Earth-712)	Squadron Supreme (1985 - 1986)
Squadron Supreme (Earth-712)	Squadron Supreme (2008 - 2009)
Squadron Supreme (Earth-712)	Squadron Supreme (2003)
Squadron Supreme (Earth-712)	Squadron Supreme Vol. 1: The Pre-War Years Premiere (2006)
Squadron Supreme (Earth-712)	Squadron Supreme: Hyperion Vs. Nighthawk (2007)
Squadron Supreme (Earth-712)	Squadron Supreme: Hyperion Vs. Nighthawk (2007)
Squadron Supreme (Earth-712)	Ultimate Power (2006 - 2008)
Hardball	Avengers: The Initiative (2007 - 2010)
Hardball	Avengers: The Initiative Annual (2007)
Hardball	Fear Itself: Youth in Revolt (2011)
Hardball	Secret Invasion: The Infiltration (2008)
Punisher 2099	Marvel Knights 2099 (2005)
Punisher 2099	Punisher 2099 (2004)
Rawhide Kid	Marvel Fanfare (1982 - 1992)
Rawhide Kid	Marvel Masterworks: Rawhide Kid Vol. (2006)
Rawhide Kid	Rawhide Kid (1960 - 1979)
Rawhide Kid	Rawhide Kid (2003)
Rawhide Kid	Two-Gun Kid (1948 - 1977)
Deathcry	Annihilation: Conquest - Starlord (2007)
Deathcry	Chaos War: Avengers (2010 - Present)
Deathcry	Chaos War: Dead Avengers (2010 - 2011)
Puck (Zuzha Yu)	Alpha Flight (2004 - 2005)
Puck (Zuzha Yu)	Alpha Flight Vol. 2: Waxing Poetic (2005)
Ant-Man (Eric O Grady)	Ant-Man & the Wasp (2010 - 2011)
Ant-Man (Eric O Grady)	Ant-Man & Wasp: Small World (2010 - Present)
Ant-Man (Eric O Grady)	Avengers: The Initiative (2007 - 2010)
Ant-Man (Eric O Grady)	Fear Itself: The Fearless (2011 - 2012)
Ant-Man (Eric O Grady)	I Am an Avenger (2010 - 2011)
Ant-Man (Eric O Grady)	Irredeemable Ant-Man (2006 - 2007)
Ant-Man (Eric O Grady)	Irredeemable Ant-Man Vol. 1: Low-Life (2007)
Ant-Man (Eric O Grady)	Marvel Adventures Super Heroes (2008 - 2010)
Ant-Man (Eric O Grady)	Onslaught Unleashed (2010 - 2011)
Ant-Man (Eric O Grady)	Secret Avengers (2010 - 2012)
Ant-Man (Eric O Grady)	Thunderbolts (2006 - 2012)
Ant-Man (Eric O Grady)	X-MEN: GOD LOVES, MAN KILLS (2011 - Present)
X-Men (Ultimate)	Ultimate Annuals Vol. 1 (2006)
X-Men (Ultimate)	Ultimate Comics X (2010 - 2011)
X-Men (Ultimate)	Ultimate Comics X-Men (2010 - Present)
X-Men (Ultimate)	Ultimate Fantastic Four/Ultimate X-Men Annual (2008)
X-Men (Ultimate)	Ultimate Marvel Team-Up (2001 - 2002)
X-Men (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (2006)
X-Men (Ultimate)	Ultimate X-Men (2000 - 2009)
X-Men (Ultimate)	Ultimate X-Men (Spanish Language Edition) (2000 - 2009)
X-Men (Ultimate)	Ultimate X-Men Annual (2005 - 2006)
X-Men (Ultimate)	Ultimate X-Men MGC (2011)
X-Men (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (2006)
X-Men (Ultimate)	Ultimate X-Men Ultimate Collection Book 2 (2007)
X-Men (Ultimate)	Ultimate X-Men Vol. 10: Cry Wolf (2005)
X-Men (Ultimate)	Ultimate X-Men Vol. 11: The Most Dangerous Game (2005)
X-Men (Ultimate)	Ultimate X-Men Vol. 12: Hard Lessons (2005)
X-Men (Ultimate)	Ultimate X-Men Vol. 13: Magnetic North (2006)
X-Men (Ultimate)	Ultimate X-Men Vol. 14: Phoenix? (2006)
X-Men (Ultimate)	Ultimate X-Men Vol. 15: Magical (2007)
X-Men (Ultimate)	Ultimate X-Men Vol. 16: Cable (2007)
X-Men (Ultimate)	Ultimate X-Men Vol. 17: Sentinels (2008)
Joystick	New Thunderbolts (2004 - 2006)
Joystick	New Thunderbolts Vol. 1: One Step Forward (2005)
Joystick	New Thunderbolts Vol. 2: Modern Marvels (2005)
Scarecrow (Ebenezer Laughton)	Avengers (1998 - 2004)
Scarecrow (Ebenezer Laughton)	Avengers Vol. 2: Red Zone (2003)
Scarecrow (Ebenezer Laughton)	Avengers Vol. II: Red Zone (2003)
Scarecrow (Ebenezer Laughton)	Dead of Night (1973)
Scarecrow (Ebenezer Laughton)	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Scarecrow (Ebenezer Laughton)	Legion of Monsters (2007)
Scarecrow (Ebenezer Laughton)	Marvel Spotlight (1971 - 1977)
Scarecrow (Ebenezer Laughton)	Sensational Spider-Man (2006 - 2007)
Scarecrow (Ebenezer Laughton)	Tales of Suspsnse Transport (1959 - 1968)
Plazm	X-Force (1991 - 2004)
Plazm	X-Force: Famous, Mutant & Mortal (2003)
Frightful Four	Incredible Hulks (2009 - 2011)
Venom (Flash Thompson)	Amazing Spider-Man (1999 - 2013)
Venom (Flash Thompson)	Amazing Spider-Man Annual (1964 - Present)
Venom (Flash Thompson)	Amazing Spider-Man Family (2008 - 2009)
Venom (Flash Thompson)	Amazing Spider-Man: Extra! (2009)
Venom (Flash Thompson)	Marvel Masterworks: The Amazing Spider-Man Vol. 7 - (2005)
Venom (Flash Thompson)	Secret Avengers (2010 - 2012)
Venom (Flash Thompson)	Spider-Man Loves Mary Jane (2005 - 2007)
Venom (Flash Thompson)	Spider-Man Loves Mary Jane Vol. 4: Still Friends (2007)
Venom (Flash Thompson)	Venom (2011 - Present)
Venom (Flash Thompson)	Venom: Flashpoint (2011)
Avengers	Age of Apocalypse (2011 - Present)
Avengers	Age of X: Universe (2011)
Avengers	Alias (2003)
Avengers	Alias Omnibus (2006)
Avengers	Alpha Flight (1983 - 1994)
Avengers	Amazing Spider-Man (1999 - 2013)
Avengers	Amazing Spider-Man Annual (1964 - Present)
Avengers	Amazing Spider-Man Vol. 10: New Avengers (2005)
Avengers	Astonishing X-Men (2004 - Present)
Avengers	Atlantis Attacks (2011)
Avengers	Atlantis Attacks (DM Only) (2011)
Avengers	Avengers (1998 - 2004)
Avengers	Avengers (2010 - 2012)
Avengers	Avengers (1963 - 1996)
Avengers	Avengers (1996 - 1997)
Avengers	Avengers & the Infinity Gauntlet (2010)
Avengers	Avengers & the Infinity Gauntlet (2011)
Avengers	Avengers Academy (2010 - 2012)
Avengers	Avengers Annual (1967 - 1994)
Avengers	Avengers Assemble (2004)
Doctor Doom	4 (2004 - 2006)
Doctor Doom	4 Vol. 3: Divine Time (2005)
Doctor Doom	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (2011)
Doctor Doom	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (2011)
Doctor Doom	Alpha Flight (1983 - 1994)
Doctor Doom	Amazing Spider-Man (1999 - 2013)
Doctor Doom	Avengers (1996 - 1997)
Doctor Doom	Avengers (1963 - 1996)
Doctor Doom	Avengers & the Infinity Gauntlet (2011)
Doctor Doom	Avengers & the Infinity Gauntlet (2010)
Doctor Doom	Avengers: First to Last (2008 - Present)
Doctor Doom	Avengers: First to Last Premiere (2008 - Present)
Doctor Doom	Avengers: The Children's Crusade (2011)
Doctor Doom	Avengers: The Childrens Crusade (2010 - 2012)
Doctor Doom	Black Panther (2008 - 2010)
Doctor Doom	Black Widow & the Marvel Girls (2009 - 2010)
Doctor Doom	Blade (2006 - 2007)
Doctor Doom	Blade: Undead Again (2007)
Doctor Doom	Captain America: Reborn (2009 - 2010)
Doctor Doom	Champions Classic Vol. 2 (2007)
Machine Man	Avengers (1998 - 2004)
Machine Man	Avengers Assemble (2004)
Machine Man	Deadpool Team-Up Vol. 2: Special Relationship (2011)
Machine Man	Earth X (1999)
Machine Man	Earth X (New (2006)
Machine Man	Hulk (2008 - 2012)
Machine Man	Marvel Comics Presents (1988 - 1995)
Machine Man	Marvel Comics Presents: Wolverine  Vol. 1 (2005)
Machine Man	Marvel Zombies 5 (2011)
Machine Man	Paradise X (2002 - 2003)
Machine Man	Paradise X Vol. 2 (New Printing) (2007)
Machine Man	X-51 (1999 - 2000)
Machine Man	X-Men Vs. Apocalypse Vol. 2: Ages of Apocalypse (2008)
Luke Cage	Alias (2003)
Luke Cage	Alias Omnibus (2006)
Luke Cage	Amazing Spider-Man (1999 - 2013)
Luke Cage	Astonishing X-Men (2004 - Present)
Luke Cage	Avengers (1963 - 1996)
Luke Cage	Avengers Academy (2010 - 2012)
Luke Cage	Avengers Annual (2010 - Present)
Luke Cage	Avengers Classic (2007 - 2008)
Luke Cage	Avengers Origins: Luke Cage (2013)
Luke Cage	Avengers VS X-Men (2012)
Luke Cage	Avengers Vs. Pet Avengers (2010 - 2011)
Luke Cage	Avengers/Invaders (2008 - 2009)
Luke Cage	Black Panther: The Man Without Fear (2010 - 2011)
Luke Cage	Chaos War: Avengers (2010 - Present)
Luke Cage	Chaos War: Dead Avengers (2010 - 2011)
Luke Cage	Civil War (2006 - 2007)
Luke Cage	Fantastic Four Visionaries: John Byrne Vol. 6 (2006)
Luke Cage	Fear Itself (2010 - 2011)
Luke Cage	Hawkeye & Mockingbird (2010)
Luke Cage	Heroes for Hire (2006 - 2007)
Baron Strucker	Captain America (2002 - 2004)
Baron Strucker	Captain America (1968 - 1996)
Baron Strucker	Captain America Vol. 2: The Extremists (2003)
Baron Strucker	Earth X (1999)
Baron Strucker	Earth X (New (2006)
Baron Strucker	Marvel Masterworks: Doctor Strange Vol. (2005)
Baron Strucker	Marvel Super-Heroes (1992 - 1993)
Baron Strucker	Marvel Visionaries: Chris Claremont (2005)
Baron Strucker	Nick Fury, Agent of Shield (1989 - 1992)
Baron Strucker	Punisher War Journal (1988 - 1995)
Baron Strucker	Secret Warriors (2008 - 2011)
Baron Strucker	Strange Tales (1951 - 1968)
Baron Strucker	Uncanny X-Men (1963 - 2011)
Baron Strucker	Untold Tales of Spider-Man (1995 - 1997)
Constrictor	Agent X (2002 - 2004)
Constrictor	Avengers: The Initiative (2007 - 2010)
Constrictor	Deadpool (1997 - 2002)
Constrictor	Fantastic Four (1961 - 1998)
Constrictor	Fantastic Four Visionaries: Walter Simonson Vol. 1 (2007)
Constrictor	Marvel Comics Presents (1988 - 1995)
Constrictor	Marvel Two-in-One (1974 - 1983)
Constrictor	Wolverine: Weapon X (2009 - Present)
Constrictor	Wolverine: Weapon X Premiere (2007)
Alex Wilder	Runaways (2003 - 2004)
Alex Wilder	Runaways Vol. 1: Pride & Joy (2004)
Cloud 9	Age of Heroes (2011)
Cloud 9	Avengers: The Initiative (2007 - 2010)
Cloud 9	Fear Itself: Youth in Revolt (2011)
Husk	Uncanny X-Men (1963 - 2011)
Husk	Uncanny X-Men Vol. 2: Dominant Species (2003)
Husk	Wolverine (1988 - 2003)
Husk	Wolverine Saga (2009)
Husk	X-Men (1991 - 2001)
Husk	X-Men Unlimited (1993 - 1999)
Husk	X-Men: Dream's End (2004)
Husk	X-Men: Prime (1995)
Husk	X-Men: The Complete Age of Apocalypse Epic Book 4 (2006)
Thor	Alpha Flight (1983 - 1994)
Thor	Alpha Flight Classic Vol. 1 (2007)
Thor	Art of Marvel Studios TPB Slipcase (2011 - Present)
Thor	Astonishing Thor (2010)
Thor	Avengers (1998 - 2004)
Thor	Avengers (1963 - 1996)
Thor	Avengers (2010 - 2012)
Thor	Avengers (1996 - 1997)
Thor	Avengers Academy (2010 - 2012)
Thor	Avengers Annual (1967 - 1994)
Thor	Avengers Annual (2010 - Present)
Thor	AVENGERS ASSEMBLE (2012 - Present)
Thor	Avengers Assemble (2004)
Thor	Avengers Assemble Vol. 2 (2005)
Thor	Avengers Assemble Vol. 3 (2006)
Thor	Avengers Assemble Vol. 4 (2007)
Thor	Avengers Assemble Vol. 5 (2007)
Thor	Avengers Classic (2007 - 2008)
Thor	Avengers Disassembled: Thor (2004)
Thor	Avengers Forever (1998 - 2001)
Erik the Red	Marvel Masterworks: The X-Men Vol. (2005)
Erik the Red	Uncanny X-Men (1963 - 2011)
Stacy X	Avengers (1998 - 2004)
Stacy X	Avengers Icons: Vision (2002 - 2003)
Stacy X	Avengers Vol. 1: World Trust (2003)
Stacy X	Call, the Vol. 1: The Brotherhood & the Wagon (2002)
Stacy X	Call, the Vol. 2: The Precinct (2003)
Stacy X	Captain America (2002 - 2004)
Stacy X	Captain America Vol. I: The New Deal (2003)
Stacy X	Captain Marvel (2000 - 2004)
Stacy X	Captain Marvel Vol. 1: Nothing to Lose (2003)
Stacy X	Captain Marvel Vol. I (1999)
Stacy X	Killraven (2002 - 2003)
Stacy X	Killraven Premiere (2007)
Stacy X	Marvel Double Shot (2003)
Stacy X	New X-Men (2001 - 2004)
Stacy X	New X-Men (2006)
Stacy X	The Call of Duty: The Precinct (2002)
Stacy X	The Call of Duty: The Wagon (2002)
Stacy X	Uncanny X-Men (1963 - 2011)
Stacy X	Uncanny X-Men Vol. 2: Dominant Species (2003)
Stacy X	Vision: Yesterday and Tomorrow (2005 - 0000)
Dargo Ktor	Thor (1966 - 1996)
Giant Girl	Marvel Adventures the Avengers (2006 - 2009)
Northstar	Age of Apocalypse: The Chosen (1995)
Northstar	Alpha Flight (2011 - 2012)
Northstar	Alpha Flight (1983 - 1994)
Northstar	Alpha Flight Classic Vol. 1 (2007)
Northstar	Astonishing X-Men (2004 - Present)
Northstar	Chaos War: Alpha Flight (2010)
Northstar	Marvel Comics Presents (1988 - 1995)
Northstar	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Northstar	New Mutants (2003 - 2004)
Northstar	New Mutants Vol 1: Back to School (2005)
Northstar	New Mutants Vol I: Back to School (2003)
Northstar	Uncanny X-Men (1963 - 2011)
Northstar	Uncanny X-Men Omnibus Vol. 1 (2006)
Northstar	Uncanny X-Men Vol. 2: Dominant Species (2003)
Northstar	Wolverine (1988 - 2003)
Northstar	Wolverine Saga (2009)
Northstar	X-Factor (1986 - 1998)
Northstar	X-Men (2010 - 2013)
Northstar	X-Men: Eve of Destruction (2005)
Northstar	X-Men: Schism (2011)
Steel Serpent (Davos)	Immortal Iron Fist (2006 - 2009)
Starfox	Avengers (1998 - 2004)
Starfox	Avengers Assemble (2004)
Starfox	Avengers Assemble Vol. 4 (2007)
Starfox	Marvel Comics Presents (1988 - 1995)
Starfox	Marvel Comics Presents: Wolverine Vol. 4 (2006)
Starfox	Warlock and the Infinity Watch (1992 - 1995)
Gorgon	Avengers (1996 - 1997)
Gorgon	Daredevil (1963 - 1998)
Gorgon	Earth X (1999)
Gorgon	Earth X (New (2006)
Gorgon	Fantastic Four (1998 - 2012)
Gorgon	Fantastic Four (1961 - 1998)
Gorgon	Fantastic Four (1996 - 1997)
Gorgon	Fantastic Four/Inhumans (2007)
Gorgon	Heroes Reborn: Fantastic Four (2006)
Gorgon	Inhumans (2000)
Gorgon	Iron Man (1996 - 1998)
Gorgon	Marvel Fanfare (1982 - 1992)
Gorgon	Marvel Two-in-One (1974 - 1983)
Gorgon	New Avengers (2004 - 2010)
Gorgon	New Avengers (2010 - 2012)
Gorgon	New Avengers Vol. 2: Sentry (2006)
Gorgon	New Avengers Vol.2: Sentry (2006)
Gorgon	Secret Warriors (2008 - 2011)
Gorgon	Wolverine (2003 - 2009)
Gorgon	Wolverine: Enemy of the State - The Complete Edition (2006)
Hellions (Squad)	New X-Men: Hellions (2005)
Gideon	X-Factor Annual (1986 - Present)
Gideon	X-Force (1991 - 2004)
Misty Knight	Daughters of the Dragon (2006)
Misty Knight	Daughters of the Dragon: Samurai Bullets (2006)
Misty Knight	Heroes for Hire (2006 - 2007)
Misty Knight	Heroes for Hire (2010 - 2011)
Misty Knight	Heroes for Hire Vol. 1: Civil War (2007)
Misty Knight	Heroes for Hire Vol. 2: Ahead of the Curve (2007)
Misty Knight	House of M: Avengers (2007)
Misty Knight	Immortal Iron Fist (2006 - 2009)
Misty Knight	Immortal Weapons (2009 - 2010)
Misty Knight	Shadowland: Blood on the Streets (2011 - Present)
Misty Knight	Shadowland: Blood on the Streets (2010)
Misty Knight	Shadowland: Daredevil (2010 - Present)
Misty Knight	Shadowland:After the Fall (2010)
Misty Knight	Spider-Island: Heroes for Hire (2011)
Misty Knight	Villains for Hire (2011 - 2012)
Misty Knight	X-Force (1991 - 2004)
Ultra-Adaptoid	Super-Villain Team-Up/Modok's 11 (2007 - 2008)
In-Betweener	Avengers (1998 - 2004)
In-Betweener	Avengers Vol. 1: World Trust (2003)
In-Betweener	Vengeance (2011)
Moonstone	Amazing Spider-Man (1999 - 2013)
Moonstone	Avengers (1998 - 2004)
Moonstone	Avengers Assemble Vol. 2 (2005)
Moonstone	Avengers Assemble Vol. 4 (2007)
Moonstone	Dark Avengers (2009 - 2010)
Moonstone	Earth X (1999)
Moonstone	Earth X (New (2006)
Moonstone	Maximum Security (2000 - 2001)
Moonstone	Ms. Marvel (2006 - 2010)
