Character	Comics
Dazzler	Alpha Flight (1983) #61
Dazzler	Amazing Spider-Man (1963) #203
Dazzler	Avengers (1963) #221
Dazzler	Avengers: The Initiative (2007) #27 (70TH FRAME VARIANT)
Dazzler	Classic X-Men (1986) #36
Dazzler	Classic X-Men (1986) #37
Dazzler	Classic X-Men (1986) #38
Dazzler	Dazzler (1981) #1
Dazzler	Dazzler (2010) #1
Dazzler	Dazzler (1981) #2
Dazzler	Dazzler (1981) #3
Dazzler	Dazzler (1981) #4
Dazzler	Dazzler (1981) #5
Dazzler	Dazzler (1981) #6
Dazzler	Dazzler (1981) #7
Dazzler	Dazzler (1981) #8
Dazzler	Dazzler (1981) #9
Dazzler	Dazzler (1981) #10
Dazzler	Dazzler (1981) #11
Dazzler	Dazzler (1981) #12
Triton	Avengers Academy (2010) #2 (2ND PRINTING VARIANT)
Triton	Earth X (1999) #1
Triton	Earth X (1999) #2
Triton	Earth X (1999) #3
Triton	Earth X (1999) #4
Triton	Earth X (1999) #5
Triton	Earth X (1999) #8
Triton	Earth X (1999) #9
Triton	Earth X (1999) #10
Triton	Earth X (New (Trade Paperback)
Triton	Fantastic Four (1996) #8
Triton	Fantastic Four (1996) #9
Triton	Fantastic Four (1996) #10
Triton	Fantastic Four (1998) #51
Triton	Fantastic Four (1998) #52
Triton	Fantastic Four (1961) #374
Triton	Fantastic Four (1961) #375
Triton	Fantastic Four (1961) #385
Triton	Fantastic Four (1961) #386
Triton	Fantastic Four/Inhumans (Trade Paperback)
Mojo	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (Hardcover)
Mojo	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (Hardcover)
Mojo	Astonishing Tales (2009) #1
Mojo	Astonishing Tales (2009) #2
Mojo	Astonishing Tales (2009) #3
Mojo	Astonishing Tales (2009) #4
Mojo	Astonishing Tales (2009) #5
Mojo	Excalibur Classic Vol. 2: Two-Edged Sword (Trade Paperback)
Mojo	Excalibur: Mojo Mayhem (1989) #1
Mojo	Longshot (1985) #3
Mojo	Longshot (1985) #4
Mojo	Longshot (1985) #5
Mojo	Longshot (1985) #6
Mojo	Marvel Comics Presents (1988) #89
Mojo	New Mutants Classic Vol. 6 (Trade Paperback)
Mojo	Uncanny X-Men (1963) #256
Mojo	Uncanny X-Men (1963) #382
Mojo	Wolverine (1988) #52
Mojo	Wolverine (1988) #53
Mojo	X-Factor Annual (1986) #7
Sabretooth (Ultimate)	Ultimate Comics X (2010) #5
Sabretooth (Ultimate)	Ultimate X-Men (2000) #8
Sabretooth (Ultimate)	Ultimate X-Men (2000) #9
Sabretooth (Ultimate)	Ultimate X-Men (2000) #10
Sabretooth (Ultimate)	Ultimate X-Men (2000) #11
Sabretooth (Ultimate)	Ultimate X-Men (2000) #12
Sabretooth (Ultimate)	Ultimate X-Men (2000) #26
Sabretooth (Ultimate)	Ultimate X-Men (2000) #27
Sabretooth (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (Trade Paperback)
Sabretooth (Ultimate)	Ultimate X-Men Vol. 6: Return of the King (Trade Paperback)
Sabretooth (Ultimate)	Ultimate X-Men Vol. II: Return to Weapon X (Trade Paperback)
Sabretooth (Ultimate)	Ultimate X-Men Vol. VI: Return of the King (Trade Paperback)
Sabretooth (Ultimate)	Ultimates 3 (2007) #1
Sabretooth (Ultimate)	Ultimates 3 (2007) #1 (Villains Gatefold)
Sabretooth (Ultimate)	Ultimates 3: Who Killed the Scarlet Witch? (Trade Paperback)
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999) #2
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999) #5
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999) #6
Spider-Woman (Mattie Franklin)	Amazing Spider-Man (1999) #611
Spider-Woman (Mattie Franklin)	The Loners (2007) #3
Debrii	New Warriors (2005) #4
Debrii	New Warriors (2005) #6
Debrii	New Warriors: Reality Check (Trade Paperback)
Lilith	Giant-Size Chillers (1974) #1
Lilith	Marvel Preview (1977) #12
Lilith	Marvel Preview (1977) #16
Lilith	Tomb of Dracula Omnibus Vol. 1 (Hardcover)
Lilith	Tomb of Dracula Omnibus Vol. 1 (Hardcover)
Lilith	Vampire Tales (1973) #6
Lockheed	Astonishing X-Men (2004) #7
Lockheed	Astonishing X-Men (2004) #24 (Variant)
Lockheed	Astonishing X-Men (2004) #42
Lockheed	Astonishing X-Men by Joss Whedon & John Cassaday (Hardcover)
Lockheed	Astonishing X-Men Vol. 1 (Hardcover)
Lockheed	Astonishing X-Men Vol. 2: Dangerous (Trade Paperback)
Lockheed	Avengers Vs. Pet Avengers (2010) #3
Lockheed	Excalibur (1988) #33
